Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type
"5 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",2000,5.0,7.0,550 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Apartment For Rent in Al Maabilah, Muscat",50,3.0,3.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Hamriyah, Muscat",135,1.0,3.0,100 Sq. M.,"Al Hamriyah, Muscat",Apartment
2 Bedrooms Apartment For Rent The Wave (Almouj) Muscat,700,2.0,2.0,105 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent in Darsait, Muscat",210,2.0,3.0,85 Sq. M.,"Darsait, Muscat",Apartment
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos,1349,5.0,6.0,678 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Azaiba, Muscat",630,5.0,5.0,350 Sq. M.,"Azaiba, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Hail, Muscat",140,2.0,2.0,90 Sq. M.,"Al Hail, Muscat",Apartment
"2 Bedrooms Apartment For Rent Azaiba, Muscat",240,2.0,2.0,100 Sq. M.,"Azaiba, Muscat",Apartment
"2 Bedroom Apartment For Rent in Azaiba, Muscat",350,2.0,3.0,120 Sq. M.,"Azaiba, Muscat",Apartment
"2 Bedroom Apartment For Rent in Salalah, Dhofar",340,2.0,1.0,87 Sq. M.,"Salalah, Dhofar",Apartment
"1 Bedroom Apartment For Rent in Bosher, Muscat",415,1.0,2.0,59 Sq. M.,"Bosher, Muscat",Apartment
2 Bedrooms Apartment For Rent Al Khuwair Muscat,270,2.0,2.0,105 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Apartment For Rent in Azaiba, Muscat",360,2.0,2.0,109 Sq. M.,"Azaiba, Muscat",Apartment
"3 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",900,3.0,3.0,200 Sq. M.,"The Wave (Almouj), Muscat",Apartment
2 Bedroom Apartment For Rent Ghala Muscat,400,2.0,4.0,120 Sq. M.,"Bosher, Muscat",Apartment
"4 Bedrooms Villa For Rent Al Ghubrah, Muscat",600,4.0,4.0,300 Sq. M.,"Al Ghubrah, Muscat",Villa
"3 Bedrooms Apartment For Rent Al Khuwair, Muscat",300,3.0,3.0,163 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 BHK Apartment For Rent Ruwi, Muscat",210,2.0,2.0,109 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat",600,2.0,3.0,109 Sq. M.,"Al Ghubrah, Muscat",Apartment
"3 Bedrooms Apartment For Rent Qurum, Muscat",500,3.0,3.0,109 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Khuwair, Muscat",300,2.0,3.0,119 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Villa For Rent in Salalah, Dhofar",95,2.0,3.0,188 Sq. M.,"Salalah, Dhofar",Villa
2 Bedrooms Apartment For Rent Salalah Dhofar,50,2.0,2.0,90 Sq. M.,"Salalah, Dhofar",Apartment
"4 Bedrooms Villa For Rent Al Ghubrah, Muscat",850,4.0,3.0,309 Sq. M.,"Al Ghubrah, Muscat",Villa
"1 Bedroom Apartment For Rent Mutrah, Muscat",140,1.0,1.0,75 Sq. M.,"Mutrah, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",280,1.0,1.0,70 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat",200,2.0,2.0,100 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Duqum, Al Wusta",175,2.0,2.0,15 Sq. M.,"Al Duqum, Al Wusta",Apartment
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",550,2.0,3.0,115 Sq. M.,"Muscat Hills, Muscat",Apartment
"2 Bedrooms Chalet For Rent in Al Mudaibi, Al Sharqiya",50,2.0,2.0,600 Sq. M.,"Al Mudaibi, Al Sharqiya",Other
"3 Bedroom Apartment For Rent Qantab, Muscat",150,3.0,3.0,110 Sq. M.,"Qantab, Muscat",Apartment
"2 Bedrooms Chalet For Rent Al Masn'a, Al Batinah",60,2.0,4.0,"1,200 Sq. M.","Al Masn'a, Al Batinah",Other
"2 Bedrooms Apartment For Rent in Al Duqum, Al Wusta",110,2.0,2.0,150 Sq. M.,"Al Duqum, Al Wusta",Apartment
"3 Bedrooms Apartment For Rent Al Amarat, Muscat",160,3.0,4.0,170 Sq. M.,"Al Amarat, Muscat",Apartment
"7 Bedroom Villa For Rent in The Wave (Almouj), Muscat",3200,7.0,8.0,509 Sq. M.,"The Wave (Almouj), Muscat",Villa
"2 Bedrooms Apartment For Rent in Al Duqum, Al Wusta",150,2.0,2.0,750 Sq. M.,"Al Duqum, Al Wusta",Apartment
"1 Bedroom Apartment For Rent in Azaiba, Muscat",160,1.0,1.0,50 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Villa For Rent in Al Sifah, Muscat",99,2.0,4.0,850 Sq. M.,"Al Sifah, Muscat",Villa
"6 Bedroom Villa For Rent in Azaiba, Muscat",900,6.0,7.0,399 Sq. M.,"Azaiba, Muscat",Villa
"Studio Apartment For Rent in Bosher, Muscat",350,,1.0,53 Sq. M.,"Bosher, Muscat",Apartment
"Residential Land For Rent in Al Maabilah, Muscat",300,,,660 Sq. M.,"Al Maabilah, Muscat",Other
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",800,4.0,3.0,300 Sq. M.,"Qurum, Muscat",Villa
4 bhk very beautiful villa for rent located al maabella,475,2.0,4.0,400 Sq. M.,"Al Hail, Muscat",Other
fully furnished villa close to the beach located hail north,750,4.0,6.0,350 Sq. M.,"Al Hail, Muscat",Other
"2 Bedrooms Apartment For Rent in Taqah, Dhofar",50,2.0,2.0,80 Sq. M.,"Taqah, Dhofar",Apartment
1 Bedroom Apartment For Rent Al Khuwair Muscat,130,1.0,1.0,40 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Chalet For Rent Al Mawaleh, Muscat",50,1.0,1.0,250 Sq. M.,"Al Mawaleh, Muscat",Other
"4 Bedrooms Villa For Rent in Azaiba, Muscat",600,4.0,4.0,200 Sq. M.,"Azaiba, Muscat",Villa
"4 Bedrooms Apartment For Rent Al Khuwair, Muscat",450,4.0,3.0,260 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent Sur, Al Sharqiya",230,2.0,2.0,400 Sq. M.,"Sur, Al Sharqiya",Apartment
"2 Bedrooms Apartment For Rent in Ghala, Muscat",260,2.0,3.0,100 Sq. M.,"Ghala, Muscat",Apartment
"3 Bedroom Villa For Rent in Qurum, Muscat",1200,3.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent in Al Ghubrah, Muscat",750,1.0,2.0,59 Sq. M.,"Al Ghubrah, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat - Other,395,1.0,2.0,69 Sq. M.,"Muscat - Other, Muscat",Apartment
Studio Apartment For Rent Al Khuwair Muscat,230,,1.0,70 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",350,2.0,2.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",300,1.0,2.0,100 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent in Ruwi, Muscat",150,1.0,2.0,100 Sq. M.,"Ruwi, Muscat",Apartment
1 Bedroom Apartment For Rent Salalah Dhofar,55,1.0,1.0,84 Sq. M.,"Salalah, Dhofar",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),540,1.0,1.0,87 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",1599,5.0,7.0,454 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"6 Bedroom Villa For Rent Qurum, Muscat",1200,6.0,8.0,10 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Qantab, Muscat",1750,5.0,6.0,555 Sq. M.,"Qantab, Muscat",Villa
"Residential Land For Rent in Al Rusayl, Muscat",48000,,,650 Sq. M.,"Al Rusayl, Muscat",Other
"8 Bedroom Villa For Rent in Azaiba, Muscat",2500,8.0,9.0,700 Sq. M.,"Azaiba, Muscat",Villa
"3 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",850,3.0,3.0,135 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedrooms Villa For Rent Qurum, Muscat",700,4.0,4.0,250 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Qurum, Muscat",1700,5.0,6.0,459 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Villa For Rent Qurum, Muscat",1200,3.0,4.0,250 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",220,2.0,2.0,109 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Bosher, Muscat",550,1.0,2.0,59 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedrooms Apartment For Rent Ghala, Muscat",230,2.0,2.0,90 Sq. M.,"Ghala, Muscat",Apartment
"7 Bedroom Villa For Rent in Qurum, Muscat",1399,7.0,7.0,500 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Apartment For Rent Al Khuwair, Muscat",250,3.0,2.0,110 Sq. M.,"Al Khuwair, Muscat",Apartment
3 Bedrooms Apartment For Rent Muscat - Darsait,300,3.0,2.0,110 Sq. M.,"Darsait, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Darsait, Muscat",260,2.0,2.0,90 Sq. M.,"Darsait, Muscat",Apartment
"5 Bedrooms Villa For Rent in Azaiba, Muscat",550,5.0,5.0,300 Sq. M.,"Azaiba, Muscat",Villa
"5 Bedrooms Villa For Rent Qurum, Muscat",550,5.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent in Azaiba, Muscat",550,5.0,5.0,300 Sq. M.,"Azaiba, Muscat",Villa
"5 Bedrooms Villa For Rent in Qurum, Muscat",550,5.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
2 Bedrooms Apartment For Rent Al Maabilah Muscat,200,2.0,3.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Qurum, Muscat",400,2.0,2.0,120 Sq. M.,"Qurum, Muscat",Apartment
2 Bedrooms Apartment For Rent Ghala Muscat,285,2.0,2.0,100 Sq. M.,"Ghala, Muscat",Apartment
"2 Bedrooms Apartment For Rent Barr Al Jissah, Muscat",700,2.0,3.0,139 Sq. M.,"Barr Al Jissah, Muscat",Apartment
"3 Bedroom Apartment For Rent Al Khuwair, Muscat",360,3.0,3.0,120 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",225,1.0,2.0,59 Sq. M.,"Al Khuwair, Muscat",Apartment
"3 Bedrooms Villa For Rent in Al Khuwair, Muscat",700,3.0,4.0,159 Sq. M.,"Al Khuwair, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",350,2.0,2.0,109 Sq. M.,"Al Khuwair, Muscat",Apartment
"3 Bedroom Villa For Rent Bosher, Muscat",1250,3.0,4.0,159 Sq. M.,"Bosher, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",240,2.0,2.0,95 Sq. M.,"Al Khuwair, Muscat",Apartment
5 Bedroom Villa For Rent Al Seeb Muscat,475,5.0,6.0,375 Sq. M.,"Al Seeb, Muscat",Villa
"1 Bedroom Chalet For Rent in Barka, Al Batinah",75,1.0,1.0,350 Sq. M.,"Barka, Al Batinah",Other
"1 Bedroom Apartment For Rent Ghala, Muscat",180,1.0,2.0,80 Sq. M.,"Ghala, Muscat",Apartment
"5 Bedroom Chalet For Rent in Salalah, Dhofar",85,5.0,7.0,700 Sq. M.,"Salalah, Dhofar",Other
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",250,2.0,2.0,95 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",140,2.0,2.0,110 Sq. M.,"Al Maabilah, Muscat",Apartment
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),700,2.0,2.0,150 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",650,4.0,4.0,250 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
1 Bedroom Apartment For Rent Al Wadi Al Kabir Muscat,215,1.0,1.0,59 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
2 Bedroom Apartment For Rent Ghala Muscat,285,2.0,3.0,109 Sq. M.,"Ghala, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",350,2.0,2.0,159 Sq. M.,"Al Ghubrah, Muscat",Apartment
"3 Bedrooms Chalet For Rent in Barka, Al Batinah",50,3.0,4.0,"1,000 Sq. M.","Barka, Al Batinah",Other
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",250,2.0,2.0,110 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Bosher, Muscat",220,1.0,2.0,95 Sq. M.,"Bosher, Muscat",Apartment
"4 Bedroom Villa For Rent Qantab, Muscat",1300,4.0,5.0,500 Sq. M.,"Qantab, Muscat",Villa
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),700,2.0,2.0,150 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",650,4.0,4.0,250 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
1 Bedroom Apartment For Rent Al Wadi Al Kabir Muscat,215,1.0,1.0,59 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
2 Bedroom Apartment For Rent Ghala Muscat,285,2.0,3.0,109 Sq. M.,"Ghala, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",350,2.0,2.0,159 Sq. M.,"Al Ghubrah, Muscat",Apartment
"3 Bedrooms Chalet For Rent in Barka, Al Batinah",50,3.0,4.0,"1,000 Sq. M.","Barka, Al Batinah",Other
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",250,2.0,2.0,110 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Bosher, Muscat",220,1.0,2.0,95 Sq. M.,"Bosher, Muscat",Apartment
"4 Bedroom Villa For Rent Qantab, Muscat",1300,4.0,5.0,500 Sq. M.,"Qantab, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",170,2.0,1.0,95 Sq. M.,"Al Khuwair, Muscat",Apartment
"7 Bedroom Villa For Rent in Qurum, Muscat",2299,7.0,8.0,658 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent Qantab, Muscat",1699,5.0,6.0,456 Sq. M.,"Qantab, Muscat",Villa
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",699,5.0,6.0,289 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
7 Bedroom Villa For Rent Madinat As Sultan Qaboos Muscat,1899,7.0,9.0,590 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent in Azaiba, Muscat",650,5.0,6.0,400 Sq. M.,"Azaiba, Muscat",Villa
5 Bedroom Villa For Rent in Muscat - Other,4500,5.0,6.0,694 Sq. M.,"Muscat - Other, Muscat",Villa
"7 Bedrooms Villa For Rent Qurum, Muscat",2399,7.0,8.0,568 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",225,2.0,2.0,110 Sq. M.,"Al Khuwair, Muscat",Apartment
"4 Bedrooms Chalet For Rent in Qurayyat, Muscat",50,4.0,4.0,"50,000 Sq. M.","Qurayyat, Muscat",Other
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",380,2.0,3.0,150 Sq. M.,"Muscat Hills, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",130,1.0,1.0,30 Sq. M.,"Al Khuwair, Muscat",Apartment
"6 Bedrooms Villa For Rent in Qurum, Muscat",1700,6.0,7.0,467 Sq. M.,"Qurum, Muscat",Villa
5bhk villa for rent near to old omantel located mwalleh 11,510,5.0,6.0,350 Sq. M.,"Al Mawaleh, Muscat",Other
"3 Bedrooms Apartment For Rent Qurum, Muscat",480,3.0,4.0,122 Sq. M.,"Qurum, Muscat",Apartment
"6 Bedrooms Villa For Rent Muscat, Madinat As Sultan Qaboos",1450,6.0,8.0,495 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent in Ruwi, Muscat",280,2.0,3.0,109 Sq. M.,"Ruwi, Muscat",Apartment
5 Bedrooms Villa For Rent Al Khoud Muscat,450,5.0,6.0,380 Sq. M.,"Al Khoud, Muscat",Villa
amazing villa facing the beach for rent in alhail north,400,3.0,4.0,250 Sq. M.,"Al Hail, Muscat",Other
"2 Bedrooms Apartment For Rent Al Rustaq, Al Batinah",100,2.0,2.0,170 Sq. M.,"Al Rustaq, Al Batinah",Apartment
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1199,5.0,6.0,280 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"4 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",1199,4.0,4.0,168 Sq. M.,"The Wave (Almouj), Muscat",Apartment
4BHK very good villa for rent located alkhoud seven,450,8.0,9.0,400 Sq. M.,"Al Khoud, Muscat",Other
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1100,2.0,3.0,146 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat",850,2.0,2.0,136 Sq. M.,"Qurum, Muscat",Apartment
2 Bedrooms Apartment For Rent Muscat (The Wave-Almouj),700,2.0,2.0,136 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedrooms Apartment For Rent Al Hail, Muscat",275,3.0,3.0,320 Sq. M.,"Al Hail, Muscat",Apartment
2 Bedrooms Apartment For Rent Ruwi Muscat,125,2.0,2.0,100 Sq. M.,"Ruwi, Muscat",Apartment
5 Bedrooms Villa For Rent Barka Al Batinah,370,5.0,6.0,300 Sq. M.,"Barka, Al Batinah",Villa
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),750,2.0,2.0,150 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedroom Villa For Rent in Bosher, Muscat",850,4.0,5.0,280 Sq. M.,"Bosher, Muscat",Villa
"4 Bedroom Villa For Rent in Azaiba, Muscat",650,4.0,5.0,300 Sq. M.,"Azaiba, Muscat",Villa
"3 Bedroom Villa For Rent Al Rusayl, Muscat",95,3.0,4.0,300 Sq. M.,"Al Rusayl, Muscat",Villa
"2 Bedroom Apartment For Rent Muscat Hills, Muscat",675,2.0,2.0,111 Sq. M.,"Muscat Hills, Muscat",Apartment
"2 Bedrooms Apartment For Rent Qurum, Muscat",500,2.0,3.0,130 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat",800,3.0,3.0,125 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment
"2 Bedroom Apartment For Rent in Azaiba, Muscat",400,2.0,3.0,109 Sq. M.,"Azaiba, Muscat",Apartment
"1 Bedroom Apartment For Rent Nizwa, Al Dakhiliya",160,1.0,1.0,70 Sq. M.,"Nizwa, Al Dakhiliya",Apartment
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",130,1.0,1.0,25 Sq. M.,"Al Ghubrah, Muscat",Apartment
"7 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",1899,7.0,9.0,598 Sq. M.,"Qurum, Muscat",Villa
2 Bedroom Apartment For Rent Al Khuwair Muscat,140,2.0,1.0,140 Sq. M.,"Salalah, Dhofar",Apartment
"3 Bedrooms Apartment For Rent Al Khuwair, Muscat",325,3.0,2.0,150 Sq. M.,"Al Khuwair, Muscat",Apartment
"5 Bedroom Villa For Rent Al Khuwair, Muscat",650,5.0,5.0,400 Sq. M.,"Al Khuwair, Muscat",Villa
6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos - Muscat,1700,6.0,8.0,475 Sq. M.,Madinat As Sultan Qaboos - Muscat,Villa
5 Bedroom Villa For Rent Al Khuwair Muscat,700,5.0,6.0,10 Sq. M.,"Al Khuwair, Muscat",Villa
7 Bedroom Villa For Rent Qurum - Muscat,1000,7.0,8.0,10 Sq. M.,"Qurum, Muscat",Villa
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),600,1.0,2.0,10 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Maabilah, Muscat",280,2.0,2.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Ghala, Muscat",325,2.0,3.0,115 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedrooms Apartment For Rent Al Khoud, Muscat",240,3.0,3.0,30 Sq. M.,"Al Khoud, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat",250,2.0,2.0,100 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Rustaq, Al Batinah",120,2.0,2.0,90 Sq. M.,"Al Rustaq, Al Batinah",Apartment
"1 Bedroom Apartment For Rent in Al Maabilah, Muscat",75,1.0,1.0,48 Sq. M.,"Al Maabilah, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Bosher, Muscat",270,2.0,2.0,100 Sq. M.,"Bosher, Muscat",Apartment
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),1700,2.0,3.0,184 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedrooms Apartment For Rent Ghala, Muscat",300,3.0,3.0,120 Sq. M.,"Ghala, Muscat",Apartment
"2 Bedroom Apartment For Rent - The Wave (Almouj), Muscat",800,2.0,2.0,125 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent Azaiba, Muscat",390,2.0,3.0,400 Sq. M.,"Azaiba, Muscat",Apartment
"3 Bedroom Villa For Rent Qurum, Muscat",550,3.0,3.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat",650,2.0,3.0,130 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1800,5.0,6.0,400 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",700,6.0,5.0,"2,000 Sq. M.","Al Hail, Muscat",Villa
2 Bedrooms Apartment For Rent Sohar,150,2.0,1.0,50 Sq. M.,"Sohar, Al Batinah",Apartment
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1199,2.0,2.0,145 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedroom Villa For Rent Qurum, Muscat",1200,5.0,6.0,450 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent Qurum, Muscat",1800,4.0,5.0,400 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",50,2.0,3.0,120 Sq. M.,"Al Maabilah, Muscat",Apartment
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1300,4.0,6.0,550 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedroom Chalet For Rent in Barka, Al Batinah",60,2.0,6.0,"1,270 Sq. M.","Barka, Al Batinah",Other
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1450,5.0,6.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"3 Bedroom Villa For Rent in Bosher, Muscat",850,3.0,4.0,300 Sq. M.,"Bosher, Muscat",Villa
"3 Bedrooms Apartment For Rent Ruwi, Muscat",350,3.0,3.0,125 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedrooms Apartment For Rent Ruwi, Muscat",185,2.0,2.0,90 Sq. M.,"Ruwi, Muscat",Apartment
"3 Bedroom Apartment For Rent Barr Al Jissah, Muscat",1600,3.0,4.0,250 Sq. M.,"Barr Al Jissah, Muscat",Apartment
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",700,6.0,5.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
5 Bedrooms Villa For Rent Salalah,80,5.0,7.0,400 Sq. M.,"Salalah, Dhofar",Villa
4 Bedroom Apartment For Rent in The Wave (Almouj) Muscat,1199,4.0,4.0,186 Sq. M.,The Wave (Almouj) Muscat,Apartment
7 Bedroom Villa For Rent in Qurum Muscat,2399,7.0,8.0,425 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Bosher, Muscat",200,2.0,2.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent Muscat Hills, Muscat",480,1.0,1.0,450 Sq. M.,"Muscat Hills, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khoud, Muscat",220,1.0,2.0,100 Sq. M.,"Al Khoud, Muscat",Apartment
"2 Bedrooms Apartment For Rent Qurum, Muscat",400,2.0,2.0,120 Sq. M.,"Qurum, Muscat",Apartment
4 Bedrooms Villa For Rent Muscat (Madinat As Sultan Qaboos),950,4.0,5.0,295 Sq. M.,"Qurum, Muscat",Villa
2 Bedrooms Apartment For Rent Al Khuwair Muscat,210,2.0,2.0,100 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Apartment For Rent in Bosher, Muscat",200,2.0,2.0,100 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat",675,2.0,2.0,116 Sq. M.,"Qurum, Muscat",Apartment
5 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),1750,5.0,6.0,462 Sq. M.,"Qurum, Muscat",Villa
"4 Bedroom Villa For Rent Qurum, Muscat",2000,4.0,5.0,448 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent Qurum, Muscat",1500,5.0,6.0,400 Sq. M.,"Qurum, Muscat",Villa
4 Bedrooms Villa For Rent Bosher Muscat,600,4.0,5.0,310 Sq. M.,"Bosher, Muscat",Villa
5 Bedroom Villa For Rent Madinat As Sultan Qaboos Muscat,550,5.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in Mutrah, Muscat",200,2.0,2.0,200 Sq. M.,"Mutrah, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Khuwair, Muscat",300,2.0,2.0,125 Sq. M.,"Al Khuwair, Muscat",Apartment
2 Bedrooms Apartment For Rent Muscat Bosher,325,2.0,3.0,140 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedrooms Chalet For Rent in Barka, Al Batinah",60,3.0,4.0,"1,800 Sq. M.","Barka, Al Batinah",Other
2 Bedrooms Apartment For Rent Al Khuwair Muscat,290,2.0,3.0,120 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Qurum, Muscat",250,2.0,2.0,200 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedroom Apartment For Rent Ruwi, Muscat",450,3.0,3.0,120 Sq. M.,"Ruwi, Muscat",Apartment
